,Symbol
0,MMM
1,AOS
2,ABT
3,ABBV
4,ABMD
5,ACN
6,ATVI
7,ADM
8,ADBE
9,ADP
10,AAP
11,AES
12,AFL
13,A
14,AIG
15,APD
16,AKAM
17,ALK
18,ALB
19,ARE
20,ALGN
21,ALLE
22,LNT
23,ALL
24,GOOGL
25,GOOG
26,MO
27,AMZN
28,AMCR
29,AMD
30,AEE
31,AAL
32,AEP
33,AXP
34,AMT
35,AWK
36,AMP
37,ABC
38,AME
39,AMGN
40,APH
41,ADI
42,ANSS
43,ANTM
44,AON
45,APA
46,AAPL
47,AMAT
48,APTV
49,ANET
50,AIZ
51,T
52,ATO
53,ADSK
54,AZO
55,AVB
56,AVY
57,BKR
58,BALL
59,BAC
60,BBWI
61,BAX
62,BDX
63,WRB
64,BRK.B
65,BBY
66,BIO
67,TECH
68,BIIB
69,BLK
70,BK
71,BA
72,BKNG
73,BWA
74,BXP
75,BSX
76,BMY
77,AVGO
78,BR
79,BRO
80,BF.B
81,CHRW
82,CDNS
83,CZR
84,CPT
85,CPB
86,COF
87,CAH
88,KMX
89,CCL
90,CARR
91,CTLT
92,CAT
93,CBOE
94,CBRE
95,CDW
96,CE
97,CNC
98,CNP
99,CDAY
100,CERN
101,CF
102,CRL
103,SCHW
104,CHTR
105,CVX
106,CMG
107,CB
108,CHD
109,CI
110,CINF
111,CTAS
112,CSCO
113,C
114,CFG
115,CTXS
116,CLX
117,CME
118,CMS
119,KO
120,CTSH
121,CL
122,CMCSA
123,CMA
124,CAG
125,COP
126,ED
127,STZ
128,CEG
129,COO
130,CPRT
131,GLW
132,CTVA
133,COST
134,CTRA
135,CCI
136,CSX
137,CMI
138,CVS
139,DHI
140,DHR
141,DRI
142,DVA
143,DE
144,DAL
145,XRAY
146,DVN
147,DXCM
148,FANG
149,DLR
150,DFS
151,DISH
152,DIS
153,DG
154,DLTR
155,D
156,DPZ
157,DOV
158,DOW
159,DTE
160,DUK
161,DRE
162,DD
163,DXC
164,EMN
165,ETN
166,EBAY
167,ECL
168,EIX
169,EW
170,EA
171,EMR
172,ENPH
173,ETR
174,EOG
175,EPAM
176,EFX
177,EQIX
178,EQR
179,ESS
180,EL
181,ETSY
182,RE
183,EVRG
184,ES
185,EXC
186,EXPE
187,EXPD
188,EXR
189,XOM
190,FFIV
191,FDS
192,FAST
193,FRT
194,FDX
195,FITB
196,FRC
197,FE
198,FIS
199,FISV
200,FLT
201,FMC
202,F
203,FTNT
204,FTV
205,FBHS
206,FOXA
207,FOX
208,BEN
209,FCX
210,AJG
211,GRMN
212,IT
213,GE
214,GNRC
215,GD
216,GIS
217,GPC
218,GILD
219,GL
220,GPN
221,GM
222,GS
223,GWW
224,HAL
225,HIG
226,HAS
227,HCA
228,PEAK
229,HSIC
230,HSY
231,HES
232,HPE
233,HLT
234,HOLX
235,HD
236,HON
237,HRL
238,HST
239,HWM
240,HPQ
241,HUM
242,HII
243,HBAN
244,IEX
245,IDXX
246,ITW
247,ILMN
248,INCY
249,IR
250,INTC
251,ICE
252,IBM
253,IP
254,IPG
255,IFF
256,INTU
257,ISRG
258,IVZ
259,IPGP
260,IQV
261,IRM
262,JBHT
263,JKHY
264,J
265,JNJ
266,JCI
267,JPM
268,JNPR
269,K
270,KEY
271,KEYS
272,KMB
273,KIM
274,KMI
275,KLAC
276,KHC
277,KR
278,LHX
279,LH
280,LRCX
281,LW
282,LVS
283,LDOS
284,LEN
285,LLY
286,LNC
287,LIN
288,LYV
289,LKQ
290,LMT
291,L
292,LOW
293,LUMN
294,LYB
295,MTB
296,MRO
297,MPC
298,MKTX
299,MAR
300,MMC
301,MLM
302,MAS
303,MA
304,MTCH
305,MKC
306,MCD
307,MCK
308,MDT
309,MRK
310,FB
311,MET
312,MTD
313,MGM
314,MCHP
315,MU
316,MSFT
317,MAA
318,MRNA
319,MHK
320,MOH
321,TAP
322,MDLZ
323,MPWR
324,MNST
325,MCO
326,MS
327,MOS
328,MSI
329,MSCI
330,NDAQ
331,NTAP
332,NFLX
333,NWL
334,NEM
335,NWSA
336,NWS
337,NEE
338,NLSN
339,NKE
340,NI
341,NDSN
342,NSC
343,NTRS
344,NOC
345,NLOK
346,NCLH
347,NRG
348,NUE
349,NVDA
350,NVR
351,NXPI
352,ORLY
353,OXY
354,ODFL
355,OMC
356,OKE
357,ORCL
358,OGN
359,OTIS
360,PCAR
361,PKG
362,PARA
363,PH
364,PAYX
365,PAYC
366,PYPL
367,PENN
368,PNR
369,PEP
370,PKI
371,PFE
372,PM
373,PSX
374,PNW
375,PXD
376,PNC
377,POOL
378,PPG
379,PPL
380,PFG
381,PG
382,PGR
383,PLD
384,PRU
385,PEG
386,PTC
387,PSA
388,PHM
389,PVH
390,QRVO
391,PWR
392,QCOM
393,DGX
394,RL
395,RJF
396,RTX
397,O
398,REG
399,REGN
400,RF
401,RSG
402,RMD
403,RHI
404,ROK
405,ROL
406,ROP
407,ROST
408,RCL
409,SPGI
410,CRM
411,SBAC
412,SLB
413,STX
414,SEE
415,SRE
416,NOW
417,SHW
418,SBNY
419,SPG
420,SWKS
421,SJM
422,SNA
423,SEDG
424,SO
425,LUV
426,SWK
427,SBUX
428,STT
429,STE
430,SYK
431,SIVB
432,SYF
433,SNPS
434,SYY
435,TMUS
436,TROW
437,TTWO
438,TPR
439,TGT
440,TEL
441,TDY
442,TFX
443,TER
444,TSLA
445,TXN
446,TXT
447,TMO
448,TJX
449,TSCO
450,TT
451,TDG
452,TRV
453,TRMB
454,TFC
455,TWTR
456,TYL
457,TSN
458,USB
459,UDR
460,ULTA
461,UAA
462,UA
463,UNP
464,UAL
465,UNH
466,UPS
467,URI
468,UHS
469,VLO
470,VTR
471,VRSN
472,VRSK
473,VZ
474,VRTX
475,VFC
476,VTRS
477,V
478,VNO
479,VMC
480,WAB
481,WMT
482,WBA
483,WBD
484,WM
485,WAT
486,WEC
487,WFC
488,WELL
489,WST
490,WDC
491,WRK
492,WY
493,WHR
494,WMB
495,WTW
496,WYNN
497,XEL
498,XYL
499,YUM
500,ZBRA
501,ZBH
502,ZION
503,ZTS
