,Neutral,Positive,Negative,Difference,P/N ratio,Difference ratio,Total,Final Sentiment,Decile
0,288,78,28,50,2.786,0.127,394,Positive,2
1,307,80,12,68,6.667,0.17,399,Positive,6
2,315,75,16,59,4.688,0.145,406,Positive,3
3,293,150,43,107,3.488,0.22,486,Positive,10
4,200,72,15,57,4.8,0.199,287,Positive,7
5,136,43,11,32,3.909,0.168,190,Positive,4
6,154,62,15,47,4.133,0.203,231,Positive,8
7,209,59,33,26,1.788,0.086,301,Positive,1
8,135,57,21,36,2.714,0.169,213,Positive,5
9,473,172,29,143,5.931,0.212,674,Positive,9
